id,item_ja,unit_ja,category_ja,image,description_ja,item_en,unit_en,category_en,description_en,infantsMale,infantsFemale,child1Male,child1Female,child2Male,child2Female,adultMale,adultFemale,agedMale,agedFemale,pet,url_yahoo,url_rakuten,url_amazon
1,水,L,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-01.png,人が生命を維持するのに必要な水分量は、年齢や体重によって変わってきますが1日1人3リットルが目安量です。,"Water (for drinking, cooking, etc.)",liters,Food,"The human body needs approximately 3 liters per day to maintain life. Also, the amount differs depending on the age and weight.",2.4,2.4,2.4,2.4,3,3,3,3,3,3,,https://bit.ly/2Nt1CVQ,https://bit.ly/37DfsM3,https://amzn.to/37CbHGI
2,レトルトご飯,食,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-02.png,災害時には、洗わなくてもよいレトルトのおかゆやご飯があると少しでも水の節約になります。おかゆは乳幼児や高齢者の食事としても使えます。,Retort cooked  rice,packs,Food,Pre-packed rice and rice porridge are helpful to save water. Rice porridge is also useful as a meal for babies and older people.,0,0,2.4,2.4,3,3,3,3,3,3,,https://bit.ly/2MjXtmC,https://bit.ly/3aIFCPz,https://amzn.to/37zEImE
3,レトルト食品,個,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-03.png,調理不要のバラエティーに富んだレトルト食品。災害時は栄養バランスが偏りがちなので、たんぱく質が取れるお肉やお魚を使ったものを選びましょう。,Retort-packed food,packs,Food,"Retort-packed food requiring no cooking is available in a variety of types. As meals in times of disaster are prone to nutritional imbalance, please select retort food containing meat or fish from which proteins can be taken in.",0,0,0.8,0.8,1,1,1,1,1,1,,https://bit.ly/3uz15T4,https://bit.ly/2NlpPNX,https://amzn.to/3umnuTy
4,缶詰(さばの味噌煮、野菜など),缶,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-04.png,缶詰は保存食の王様。種類も豊富で味も良く、日常に欠かせない食材でもあります。家族の好みや栄養バランスを考え、たんぱく質が取れるお肉やお魚、豆類の缶詰を選びましょう。缶切りも忘れずに。,Canned food,cans,Food,"Canned food is the king of preserved food. Rich in variety and tasty, it is an indispensable food item for daily use as well. You are advised to select canned meat, fish, or beans that help you take in proteins while considering each family member's favorite food and nutritional balance. Don't forget to have a can opener in place.",0,0,0.8,0.8,1,1,1,1,1,1,,https://bit.ly/2P4hFda,https://bit.ly/3bpsGOZ,https://amzn.to/3dzJFPU
5,栄養補助食品,箱,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-05.png,食料不足になる災害時は、必要な栄養を食材で取れるとは限りません。サプリメントのほか、必要な栄養が詰まったバランス栄養食は、災害時、十分な調理ができないときでも手軽に栄養補給できます。,Dietary supplements,packs,Food,"When natural disasters strike, people would not be able to have enough nutrition from food. Therefore, make sure to have some nutrition bars or supplements to take enough nourishment even though people are under emergency.",0,0,0.8,0.8,1,1,1,1,1,1,,https://bit.ly/2ZG5JQL,https://bit.ly/2NPiohw,https://amzn.to/3kbsKoc
6,野菜ジュース,本,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-06.png,ジュースで野菜不足を解消。ミネラルやビタミンが摂取できます。冷凍保存することで、保冷剤としても使えます。,Vegetable juice,packs,Food,Vegetable juice helps to take minerals and vitamins. It is also useful as an ice pack by keeping it in the freezer.,0,0,0.8,0.8,1,1,1,1,1,1,,https://bit.ly/3c7WrmB,https://bit.ly/3dvmgPM,https://amzn.to/2Nll72J
7,チーズ・プロテインバー等,パック,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-07.png,被災地で支援物資として配られる食料は炭水化物が中心で、たんぱく質やビタミンといった栄養素が不足しがちです。健康を維持するためにも、チーズやプロテインバーといった高タンパクで保存可能な食料をストックしておくと安心です。,Cheese & protein bars,packs,Food,"Food handed out as relief supplies in disaster-affected areas is primarily carbohydrates, tending to lack in such nutrients as proteins and vitamins. If only to maintain sound health, you will have peace of mind by keeping in stock high-protein preservative food such as cheese and protein bars.",0,0,1,1,1,1,1,1,1,1,,https://bit.ly/3pRfEhi,https://bit.ly/30nYCwW,https://amzn.to/3kcpB7N
8,健康飲料粉末,袋,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-08.png,食料不足になる災害時は、必要な栄養を食材で取れるとは限りません。サプリメントのほか健康飲料の粉末などは、調理ができないときや疲れて食べ物がのどを通らないときでも、手軽に栄養補給できます。,Powdered healthy drinks,packs,Food,"In times of disaster when food is in short supply, you cannot always take in necessary nutrients from foodstuffs. Beside nutritional supplements, powdered healthy drinks, etc. enable you to receive nutritional support readily even when cooking is impossible or you are too tired to get food down your throat.",0,0,0.8,0.8,1,1,1,1,1,1,,https://bit.ly/2NSeF2M,https://bit.ly/3kbt1Y6,https://amzn.to/2NrnJvG
9,調味料セット,適宜,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-09.png,料理に欠かせない調味料。野菜がたくさん入ったソースは、いろいろな食材に合う万能調味料です。,Set of seasonings,As needed,Food,Seasoning is necessary in cooking. Sauce with a lot of vegetables is versatile seasoning for it could match with many kinds of ingridients.,0,0,1,1,1,1,1,1,1,1,,https://bit.ly/3bydBcv,https://bit.ly/37AhMDA,https://amzn.to/3k9rvGd
10,乾麺 即席麺,パック,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-10.png,災害時はご飯やパンが中心になるので、乾麺があるとメニューに変化をつけられます。賞味期限が長いので長期保存でき、冷めてもおいしく食べられます。普段食べているものを少し多めにストックしておきましょう。,Dried or instant noodles,packs,Food,"In times of disaster, you depend mainly on rice or bread for meals. Dried noodles can accent your menu for variety. As they last long, you can preserve them for a long time and can taste them good eaten cold. You are advised to keep in stock a bit more of what you eat regularly.",,,,,,,,,,,,http://bit.ly/37Enbtf,http://bit.ly/3qKhkKI,http://amzn.to/2P4TZFB
