避難所_名称,地方公共団体コード,都道府県,指定区市町村名,住所,緯度,経度
麹町小学校,131016,東京都,千代田区,東京都千代田区麹町2-8,35.685344,139.739763
番町小学校,131016,東京都,千代田区,東京都千代田区六番町8,35.687975,139.733800
麹町中学校,131016,東京都,千代田区,東京都千代田区平河町2-5-1,35.680494,139.739246
富士見みらい館,131016,東京都,千代田区,東京都千代田区富士見1-10-3,35.697237,139.746433
お茶の水小学校,131016,東京都,千代田区,東京都千代田区神田猿楽町1-1-1,35.697358,139.760306
神田一橋中学校,131016,東京都,千代田区,東京都千代田区一ツ橋2-6-14,35.694139,139.756771
神田さくら館,131016,東京都,千代田区,東京都千代田区神田司町2-16,35.693041,139.768490
昌平童夢館,131016,東京都,千代田区,東京都千代田区外神田3-4-7,35.701278,139.769874
アーツ千代田3331,131016,東京都,千代田区,東京都千代田区外神田6-11-14,35.704241,139.770812
ちよだパークサイドプラザ,131016,東京都,千代田区,東京都千代田区神田和泉町1,35.699137,139.778427
旧今川中学校,131016,東京都,千代田区,東京都千代田区鍛冶町2-4-2,35.691677,139.772728
都立一橋高校,131016,東京都,千代田区,東京都千代田区東神田1-12-13,35.694662,139.781149
スポーツセンター,131016,東京都,千代田区,東京都千代田区内神田2-1-8,35.689126,139.767544
岩本町ほほえみプラザ,131016,東京都,千代田区,東京都千代田区岩本町2-15-3,35.694347,139.778101
九段小学校,131016,東京都,千代田区,東京都千代田区三番町16,35.690456,139.740402
京橋区民館,131024,東京都,中央区,東京都中央区京橋2-6-7,35.676564,139.771358
泰明小学校,131024,東京都,中央区,東京都中央区銀座5-1-13,35.672362,139.761406
中央小学校,131024,東京都,中央区,東京都中央区湊1-4-1,35.672271,139.778861
明石小学校,131024,東京都,中央区,東京都中央区明石町1-15,35.668866,139.776556
京橋築地小学校,131024,東京都,中央区,東京都中央区築地2-13-1,35.668010,139.771195
明正小学校,131024,東京都,中央区,東京都中央区新川2-13-4,35.676060,139.782072
銀座中学校,131024,東京都,中央区,東京都中央区銀座8-19-15,35.665453,139.764759
京橋プラザ,131024,東京都,中央区,東京都中央区銀座1-25-3,35.673145,139.771591
京華スクエア,131024,東京都,中央区,東京都中央区八丁堀3-17-9,35.674871,139.775829
常盤小学校,131024,東京都,中央区,東京都中央区日本橋本石町4-4-26,35.688464,139.770549
日本橋小学校,131024,東京都,中央区,東京都中央区日本橋人形町1-1-17,35.684688,139.781609
有馬小学校,131024,東京都,中央区,東京都中央区日本橋蛎殻町2-10-23,35.683286,139.787998
久松小学校,131024,東京都,中央区,東京都中央区日本橋久松町7-2,35.689043,139.784330
阪本小学校,131024,東京都,中央区,東京都中央区日本橋兜町15-3,35.679755,139.776483
日本橋中学校,131024,東京都,中央区,東京都中央区東日本橋1-10-1,35.692272,139.786868
十思スクエア,131024,東京都,中央区,東京都中央区日本橋小伝馬町5-1,35.691095,139.776926
佃島小学校,131024,東京都,中央区,東京都中央区佃2-3-1,35.668623,139.784758
佃中学校,131024,東京都,中央区,東京都中央区佃2-3-2,35.668075,139.785086
月島第一小学校,131024,東京都,中央区,東京都中央区月島4-15-1,35.660652,139.780098
月島第二小学校,131024,東京都,中央区,東京都中央区勝どき1-12-2,35.660235,139.775979
月島第三小学校,131024,東京都,中央区,東京都中央区晴海1-4-1,35.658901,139.785824
豊海小学校,131024,東京都,中央区,東京都中央区豊海3-1,35.653467,139.771393
晴海中学校,131024,東京都,中央区,東京都中央区晴海1-5-3,35.659780,139.784455
御成門小学校,131032,東京都,港区,東京都港区芝公園3-2-4,35.661313,139.749789
芝小学校,131032,東京都,港区,東京都港区芝2-21-3,35.650939,139.750074
港勤労福祉会館,131032,東京都,港区,東京都港区芝5-18-2,35.647875,139.748524
赤羽小学校,131032,東京都,港区,東京都港区三田1-4-52,35.653206,139.742383
御成門中学校,131032,東京都,港区,東京都港区西新橋3-25-30,35.661597,139.750418
生涯学習センター,131032,東京都,港区,東京都港区新橋3-16-3,35.665558,139.757077
エコプラザ,131032,東京都,港区,東京都港区浜松町1-13-1,35.658849,139.756888
福祉プラザさくら川,131032,東京都,港区,東京都港区新橋6-19-2,35.661183,139.753792
神明子ども中高生プラザ・神明いきいきプラザ,131032,東京都,港区,東京都港区浜松町1-6-7,35.658827,139.757554
虎ノ門いきいきプラザ,131032,東京都,港区,東京都港区虎ノ門1-21-10,35.667906,139.748713
三田いきいきプラザ,131032,東京都,港区,東京都港区芝4-1-17,35.648753,139.749744
麻布小学校,131032,東京都,港区,東京都港区麻布台1-5-15,35.661943,139.738531
旧飯倉小学校,131032,東京都,港区,東京都港区東麻布2-1-1,35.658228,139.742603
本村小学校,131032,東京都,港区,東京都港区南麻布3-9-33,35.649809,139.729936
東町小学校,131032,東京都,港区,東京都港区南麻布1-8-11,35.650916,139.735874
笄小学校,131032,東京都,港区,東京都港区西麻布3-11-16,35.656465,139.724911
六本木中学校,131032,東京都,港区,東京都港区六本木6-8-16,35.660840,139.732187
高陵中学校,131032,東京都,港区,東京都港区西麻布4-14-8,35.656898,139.720394
南山小学校,131032,東京都,港区,東京都港区元麻布3-8-15,35.657237,139.730659
麻布区民センター,131032,東京都,港区,東京都港区六本木5-16-45,35.660686,139.735083
南麻布いきいきプラザ,131032,東京都,港区,東京都港区南麻布1-5-26,35.651435,139.735101
麻布子ども中高生プラザ・ありすいきいきプラザ,131032,東京都,港区,東京都港区南麻布4-6-7,35.651038,139.727410
西麻布いきいきプラザ,131032,東京都,港区,東京都港区西麻布2-13-3,35.660903,139.722721
飯倉いきいきプラザ,131032,東京都,港区,東京都港区東麻布2-16-11,35.656904,139.740889
赤坂小学校,131032,東京都,港区,東京都港区赤坂8-13-29,35.669426,139.731240
青山小学校,131032,東京都,港区,東京都港区南青山2-21-2,35.669708,139.718907
青南小学校,131032,東京都,港区,東京都港区南青山4-21-15,35.663510,139.716102
赤坂中学校,131032,東京都,港区,東京都港区赤坂9-2-3,35.668180,139.731502
青山中学校,131032,東京都,港区,東京都港区北青山1-1-9,35.674187,139.722053
赤坂区民センター,131032,東京都,港区,東京都港区赤坂4-18-13,35.674663,139.731849
サン・サン赤坂（赤坂子ども中高生プラザ）,131032,東京都,港区,東京都港区赤坂6-6-14,35.669765,139.737726
赤坂いきいきプラザ,131032,東京都,港区,東京都港区赤坂6-4-8,35.670358,139.734939
青山いきいきプラザ,131032,東京都,港区,東京都港区南青山2-16-5,35.669191,139.721243
青南いきいきプラザ,131032,東京都,港区,東京都港区南青山4-10-1,35.666466,139.717313
御田小学校,131032,東京都,港区,東京都港区三田4-11-38,35.643112,139.737888
高輪区民センター,131032,東京都,港区,東京都港区高輪1-16-25,35.642046,139.734018
白金小学校,131032,東京都,港区,東京都港区白金台1-4-26,35.636788,139.728552
旧三光小学校,131032,東京都,港区,東京都港区白金3-18-2,35.644440,139.729255
白金の丘学園白金の丘小・中学校,131032,東京都,港区,東京都港区白金4-1-12,35.643711,139.726930
旧神応小学校,131032,東京都,港区,東京都港区白金6-9-5,35.643643,139.724498
三田中学校,131032,東京都,港区,東京都港区三田4-13-13,35.645230,139.740851
高松中学校,131032,東京都,港区,東京都港区高輪1-16-25,35.640880,139.734094
高輪台小学校,131032,東京都,港区,東京都港区高輪2-8-24,35.636335,139.734386
高輪子ども中高生プラザ,131032,東京都,港区,東京都港区高輪1-4-35,35.642375,139.734832
豊岡いきいきプラザ,131032,東京都,港区,東京都港区三田5-7-7,35.646502,139.739662
高輪いきいきプラザ,131032,東京都,港区,東京都港区高輪3-18-15,35.633201,139.735693
白金いきいきプラザ,131032,東京都,港区,東京都港区白金3-10-12,35.644894,139.731074
白金台いきいきプラザ,131032,東京都,港区,東京都港区白金台4-8-5,35.637714,139.724958
芝浦小学校,131032,東京都,港区,東京都港区芝浦4-8-18,35.638159,139.746311
港南小学校,131032,東京都,港区,東京都港区港南4-3-28,35.629230,139.749645
港南中学校,131032,東京都,港区,東京都港区港南4-3-3,35.631118,139.749061
芝浦港南区民センター,131032,東京都,港区,東京都港区芝浦4-13-1,35.640530,139.748572
みなとパーク芝浦（港区スポーツセンター・男女平等参画センター）,131032,東京都,港区,東京都港区芝浦1-16-1,35.646636,139.751425
港南子ども中高生プラザ,131032,東京都,港区,東京都港区港南4-3-7,35.630944,139.749650
